Text,Verdict
however sales volumes food industry expect remain relatively good level finland scandinavia atria say,positive
finnish silicon wafers manufacturer okmetic oyj say swing net profit 49 mln euro $ 63 mln first nine months 2006 net loss 18 mln euro $ 23 mln year earlier,positive
mention shareholders suggest monthly salary eur 1400 would pay board members outside company,neutral
volume focus already outside finland 60 % group 's products make poland baltic countries,neutral
earlier today geberit 's finnish rival uponor oyj cut full-year sales growth forecast 6 pct 10 pct blame tough condition germany us well currency factor,negative
stead base soft drink usual teho energy drink make fresh water,neutral
finnish scanfil systems supplier contract manufacturer communications sector electronics industry report net sales eur 496 mn first quarter 2009 per cent smaller correspond period 2008,negative
moment valio worry ban continue long may become quite problem,negative
lead production turn increase 60000 tonnes 2009 would twofold increase current capacity level zahariev say,positive
survey conduct taloustutkimus sampo life show company badly prepare lose key staff members,negative
real estate company post net loss + x201a - 593 million + x201a - 021 per share compare net profit + x201a - 31 million + x201a - 011 per share correspond quarter 2007,negative
ruukki restructure commercial industrial construction operations pursuit permanent improvements whilst adjust operations market condition,neutral
1411 cet arcelormittal lose 726 % eur 1738 euronext paris come lead blue-chip fallers,negative
talvivaara mine company plc talvivaara mine company internationally significant base metal producer primary focus nickel zinc use technology know bioheapleaching extract metal ore,neutral
componenta increase stake turkish steel company doktas dokumculuk ticaret sanayi 926 pct stake march 2007,positive
economic development china longer take place east coast shanghai area vauramo say,neutral
truly take efficiency new heights `` mr metso add,positive
majority company 's personnel finland temporarily lay one six weeks period february june 2009 period,negative
finnish fibers plastic products maker suominen corporation say net loss continue operations narrow 18 mln euro ( $ 23 mln ) 2006 37 mln euro ( $ 48 mln ) 2005,positive
unbelievably company make - fiskars corporation - form 1649 dutch merchant name peter thorwoste give charter establish blast furnace forge operation small finnish village fiskars,neutral
master business administration mba,neutral
per-share subscription price share subscribe option right eur 135,neutral
measure result decrease demand technical design product information,negative
3 february 2011 - finnish broadband data communication systems provider teleste oyj hel tlt1v say yesterday net profit rocket eur4 8 2010 eur416 000 2009 lift dividend proposal,positive
helsinki afx - outokumpu say technology unit 28 mln eur contract bosnia-herzegovina 's aluminij dd mostar upgrade anode plant,positive
first time finnair award agreement uk government,positive
fancy dans move fab glasgow gift interiors store fancy dans move,neutral
january-september 2010 fiskars ' net profit go 14 % year-on-year eur 654 million net sales eur 5253 million eur 4877 million,positive
number offer receive contract two,neutral
4 january 2011 - finnish media company alma media corporation hel aln1v say today online recruitment service monster oy partner local newspaper publisher suomen lehtiyhtyma list job advertisements,neutral
helsinki ( afx ) - retail wholesale group kesko report net sales 6594 mln eur february increase 108 pct year-on-year,positive
market share widen 4851 percent 4831 percent year earlier,positive
stora chief executive jouko karvinen describe russian tariff hike threat future forest products industry finland,negative
however net sales decline eur 8036 million eur 12 billion,negative
aim bridge solutions choose minimize construction time ensure traffic beneath bridge saimaa canal continue undisturbed,neutral
company close last year turnover four million euros,neutral
earnings per share ( eps ) first half 2007 amount eur0 29 eur0 40 year ago,negative
net profit three months march 31 fell ( x20ac ) 103 million ( us $ 165 million ) ( x20ac ) 131 million year earlier finnish company say,negative
price talk euribor plus 2 bps area sole lead citigroup,neutral
`` additional flight link mumbai helsinki dictate strong traffic demand asia europe,positive
`` developments partly reflect government 's higher activity field dividend policy ``,neutral
combine value order almost eur 3mn,neutral
2006 teliasonera net sales sek 91 bn ebitda sek 32266 bn net income sek 1928 bn,neutral
finnish electronics manufacture service ems company elcoteq se post net loss 664 mln euro $ 912 mln first half 2007 compare net profit 71 mln euro $ 98 mln period 2006,negative
outotec oyj press release february 19 2008 1100 outotec two large minerals process technology order mirabela mineracao brasil ltda brazil cumerio med jsco bulgaria,positive
company make garden tool scissor consumer goods say earnings boost 69 mln eur income receive 167 pct shareholding finnish engineer group wartsila,positive
`` last year finnair record 326-percent growth asian sector carry 110 million passengers two continents ``,positive
n +1 group pay eur16 5 transaction price upon close remain sum 2012,neutral
operate result exclude one-off items total eur 91 mn compare eur 106 mn continue operations exclude one-off items 2004,negative
total scope project 38000 square metres value total around eur75m,neutral
merisatama far corner world asfaltti osakeyhti+ lemmink+ inen establish 1910 group master builders helsinki specialist business subcontractor,neutral
operate profit increase eur 140 mn eur 49 mn correspond period 2005,positive
profit period total eur 11 mn eur 16 mn third quarter 2008,negative
change media activity see october compare september,neutral
accord a-rehu 's manage director jouko lahtinen project stabilise cost improve supply security,positive
company deliver technical infrastructure use nav data warehouse business intelligence initiatives,neutral
also latvia act partner bakery customers production product development,neutral
company expect net sales 2008 increase 5-10 % 2007,positive
elcoteq expect net sales last quarter 2010 level third quarter,neutral
finnish meat company atria longer promise sufficient amount domestic beef customers,negative
`` however rapidly increase cost strengthen euro challenge whole industry impact result ``,negative
orion 's net profit third quarter 2007 decrease 365 mln euro ( $ 521 mln ) 403 mln euro ( $ 575 mln ) year earlier,negative
narrow eur2 8 9-mo '09 29 october 2009 - finnish software hardware developer elektrobit oyj hel ebg1v eb say today net loss narrow eur2 8 first nine months 2009 eur35 6 period year ago,positive
nordic bank already write sizable loan latvia swedbank nordea dnb seb report combine losses excess $ 135 billion period 2007 2010 backdrop near economic meltdown latvia,negative
news corp 's myspacecom web site display submissions expand broadband emmy award part effort identify aspire video artists,neutral
base first quarter result exist order backlog new order prospect company expect full-year sales contract 25 % 2008 gross margin stay healthy level operate profit margin lower 2008 due lower sales volume,negative
argentine agricultural export company calafate tap compatriot firm finnegans software solution latter company say statement,neutral
pretax profit total eur 49 mn compare eur 52 mn first quarter 2005,negative
finnish pharmaceuticals company orion report profit tax eur 700 mn third quarter 2010 eur 549 mn correspond period 2009,positive
swedish engineer consultant firm etteplan establish unit town borl+ nge turn month march-april 2008,neutral
incap lankapaja aim enter actual agreement transfer sheet-metal production buyer february order complete transfer 1 march 2011,positive
rosen cautious optimistic inregard second half year,neutral
total headcount reduction 50 persons company say,negative
metal gain 41 percent year demand china world 's largest user increase,positive
productional situation improve,positive
finnish developer manufacturer mobile phone chargers salcomp plc omx helsinki sal1v wednesday 19 november lower full-year net sales estimate,negative
operate profit fell eur 2326 mn eur 3286 mn,negative
say contract estimate contribute eur150m net sales 2010,positive
however broker give `` outperform `` recommendation stock,positive
1830 dinner conference program also view live audio webcast internet page wwwcityconcom,neutral
volume investments two phase project estimate usd 300mn ( eur 21503 mn ),neutral
finnish consult engineer group poyry plc ( omx helsinki poy ) say wednesday ( 1 october ) award contract tanqia dibba fzc owner-engineer wastewater system dibba emirate fujairah uae,positive
helsinki-based company also own salomon atomic suunto brand say net profit rise 15 percent three months dec 31 ( x20ac ) 47 million ( $ 61us million ) ( x20ac ) 408 million year earlier,positive
september alone market decline 102 percent year-on-year 1928 million liters,negative
q1 '10 19 april 2010 - finnish forest machinery equipment maker ponsse oyj hel pon1v say today expect swing net profit eur6 3 first quarter 2010 eur9 6 loss year earlier,positive
acquisition finance $ 256 billion debt arrange goldman sachs & co,neutral
company ready invest fund deal rostelecom rts rtkm,positive
price kesko 's share 10 mln euro $ 155 mln recognize gain 40 mln euro $ 62 mln disposal include result second quarter 2008,positive
operate profit decrease eur 16mn eur 211 mn 2008,negative
qualcomm estimate first-quarter profit 46 50 cents share exclude certain items analyst estimate 61 cents share,negative
`` second quarter 2010 firstquarter growth net sales since third quarter of2008 `` say magnus rosen ramirent ceo,positive
however company saw net profit third quarter eur1 4 eur1 5 correspond period 2009,negative
financial detail acquisition disclose,neutral
finnish financial software solutions developer basware oyj say net profit fell 884000 euro ( $ 12 mln ) first quarter 2007 20 mln euro ( $ 27 mln ) year earlier,negative
members partner use mostly apparent increase efficiency result service `` observe perttu puro tradeka,positive
finnish electronics manufacturer pkc group oyj ( omx helsinki pkc1v ) say wednesday ( 31 december ) complete acquisition man nutzfahrzeuge ag 's cable harness business man star truck & bus spolka zoo poland,positive
finnish investment group norvestia oyj say net profit fell 235 mln euro $ 306 mln 2006 335 mln euro $ 436 mln 2005,negative
also bring `` right kind people `` upgrade human resources,positive
forestries also higher drive yesterday 's bullish analyst comment stora enso dagens industri dealers say,positive
consolidate operate profit exclude one-off items eur 306 mn eur 296 mn year earlier,positive
pretax profit total eur 49 mn compare eur 52 mn first quarter 2005,negative
core solidium 's investment strategy proper value enhance asset management current holdings,positive
rinkuskiai 's beer sales fell 65 per cent 416 million litres kauno alus ' beer sales jump 69 per cent 248 million litres,neutral
broker initiate palfinger ag konecranes oyj ` buy ' recommendations 51 42 eur price target respectively,positive
sales rise 10 pct 566 mln eur back strong volume favourable currency effect,positive
negotiations concern personnel cencorp corporation singulase oy whole finland sweden company say,neutral
wayne greensmith fiskars brand uk senior brand manager say `` launch want give something back community,neutral
operate profit exclude non-recurring items total eur 02 mn eur 08 mn correspond period 2006,negative
capital base capital adequacy measurement base approach basel ii,neutral
finnish kemira 's net sales eur decrease eur 12596 mn january-june 2009 eur 14251 mn january-june 2008,negative
need ready window open rosberg say,neutral
base upon unique fiber expertise innovative approach company strong market position several business areas operate,positive
finnish forest industry group stora enso oyj issue thursday ( 20 march ) profit warn first quarter 2008,negative
accord finnish petrol station chain st1 's manage director kim wiio company force make purchase rise price first half 2008 consumer price go almost daily due competition,negative
finnish print circuit board ( pcbs ) maker aspocomp group oyj say december 4 2006 name henry gilchrist senior vice president group 's asian operations january 8 2007,neutral
finnish food workers ' union sel plan hasten collective bargain two-day strike would begin 7 april 2010 finland,negative
earnings per share ( eps ) amount loss eur0 05,negative
finnish dental care group oral hammaslaakarit oyj post total net profit 849000 euro $ 11 mln first nine months 2006 versus net loss 331000 euro $ 421000 period 2005,positive
passenger volumes rise 84 % account period,positive
eur17m contract include design construction work,neutral
company pay dividend eur 050 per share total eur 14mn,neutral
net profit fell almost half + 55 million + 94 million end 2007,negative
q1 2010 18 may 2010 - finnish electrical components maker salcomp oy ( hel sal1v ) say today turn net profit eur1 6 first quarter 2010 versus loss eur2m correspond period last year,positive
us energy executives say high steel price threaten energy exploration,negative
assa abloy kaupthing bank give ` neutral ' recommendation share price target 174 crown $ 247 - 19 euro swedish lock maker assa abloy ab,neutral
nd = disclose,neutral
pharmaceutical market belgium global research & data service publish recently market analysis pharmaceutical market belgium,neutral
consolidate operate profit continue operations decrease 623 % eur 512 mn eur 1357 mn 2007,negative
one also apply job directly ipad select cv attach cover letter appropriate position,neutral
sink depth 360-380 metres fix bottom mud vacuum,neutral
subscription sales decrease slightly,negative
high wind also topple three semi-trailers i-15 north barstow,neutral
january traffic measure revenue passenger kilometres rpk go 32 % capacity measure available seat kilometres ask rise 122 %,positive
aldata share space optimization vision apollo user group 2009 category management association conferences company unveil new solution combine business intelligence space plan data conferences,neutral
earnings per share eps see eur 056 eur 038,positive
operate profit fell eur 151 mn eur 246 mn 2006,negative
jarmo honkamaa head oil refine business neste oil say situation look promise viewpoint,positive
finnish company sell uk operation - consist 50 staff offices london birmingham manchester - part deal hampden july 2001 european-wide property casualty arm sampo industrial,neutral
boomerang boat net sales eur 41 mn make operate profit eur 04 mn 2006,neutral
alexandria va march 28 -- pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland develop ornamental design handset us patent & trademark office announce,neutral
operate profit net sales six-month period increase respectively eur18 1 eur127 6 compare correspond period 2006,positive
finnlines six ship construction china deliveries schedule first quarter 2011 final quarter 2012,neutral
make matter difficult company say grapple higher oil gas price push cost energy raw materials transportation,negative
separate announcement helsinki stock exchange atria reveal company 's third quarter profit decline eur13 9 third quarter last year eur12 7 year 's q3,negative
( adpnews ) - dec 1 2009 - finnish cutlery hand tool maker fiskars oyj abp ( hel fisas ) say today make redundant total 18 office management staff members subsidiary iittala group ltd,negative
profit period total eur 08 mn eur 11 mn correspond period 2008,negative
`` delight announce support intel base handheld platforms capabilities make development easier faster,positive
popular mobile data service email surf internet well news weather service,neutral
total capital fund manage bank decrease 28 % eur 284mn end september 2008,negative
finnish fibers plastic products maker suominen corporation say net loss continue operations narrow 18 mln euro ( $ 23 mln ) 2006 37 mln euro ( $ 48 mln ) 2005,positive
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication 2424-kolnp-2008 adate file application 16-06-2008publication date 30/01/2009,neutral
ebit margin 14 % 51 %,positive
company exit contract manufacture service segment,neutral
2006 teliasonera net sales sek 91 bn ebitda sek 32266 bn net income sek 1928 bn,neutral
operate loss total eur 03 mn compare profit eur 22 mn correspond period 2007,negative
south african sappi become largest foreign forest industry company operate finland result acquisition finnish m-real corporation 's graphic paper business unit,positive
finnish food industry company hk ruokatalo atria form joint venture company call l+ nsi-kalkkuna produce turkey meat,positive
total value project eur53m include plot transfer atria,neutral
however expect bank provide alternative finance,positive
baltic countries sales fell 426 %,negative
company 's plant russia continue make tyres near market plant nokia finland manufacture tyres market,neutral
last position nokia siemens network head business human resources nsn global,neutral
begin year wartsila secure order deliver four gas-fuelled main engines propulsion machinery vessel,positive
announce restructure significantly decrease company 's indebtedness,positive
ebitda year 2009 improve eur484m compare eur472m 2008,positive
launch new 3g handsets nokia aim become winner china 's 3g market 2g market,positive
pulp production finnish kemij+ rvi also liquidate 1100 employees loose job,negative
appointments force new ceo appoint,neutral
result company currently anticipate net sales increase operate result positive,positive
recovery evident liquid handle business particularly areas outside europe primarily north america asia,positive
return equity stand 183 % compare 154 % third quarter 2005,positive
southfield mich -- central corporate credit union distribute patronage dividends members waive service fee incur months july november 2008 tune estimate $ 1 million,positive
six agreements company 's first customer acquisitions india since take tvs electronics ' contract manufacture facility jun 2007,neutral
however production almost entirely labor intensive base small investments,neutral
operate profit eur 06 mn loss eur 19mn year earlier,positive
ssh communications security corp stock exchange release october 14 2008 245 pm company update full year outlook estimate result remain loss full year,negative
operate profit fell eur 79 mn second quarter 2005 eur 51 mn second quarter 2006,negative
company employ 6400 report net sales 620 mln euro $ 8232 mln 2006,neutral
kone 's net sales rise 14 % year-on-year first nine months 2008,positive
nordic exchange omx offer access approximately 80 percent nordic baltic securities market,neutral
swedbank 's share hardest hit swedish bank ongoing international financial crisis,negative
cost cut measure produce around eur70m savings past nine months dampen airline 's loss finnair say,positive
peigs wwwpeigsse become part sardus latta maltider light meals unit,neutral
name yet release,neutral
company also appoint leif rosen head special plate unit include quarto plate units degerfors sweden new castle usa unit willich germany well pressplate prefab avesta plate service centre nordic degerfors,neutral
contract employees 96 blue-collar workers end march august 2011,negative
first quarter 2010 mark-to-market result pretax profit eur 133 million versus loss eur 32 million period last year,positive
17 march 2011 - goldman sachs estimate negative prospect norwegian mobile operations norway 's telenor asa osl tel sweden 's teliasonera ab sto tlsn short term,negative
contract raute corporation muling kemian wood products co ltd announce 3 november 2010 take effect,neutral
upgrade intend raise network capacity 450 mhz 630 mhz several cities enable bi-directional service digital television well broadband data,positive
currently company foresee pre-tax profit remain 2009 level reach eur 700000 usd 934000 compare previous projections slightly better pre-tax profit,negative
pharmaceuticals - poland brand-new market analysis give clear overview actual situation future outlook pharmaceutical market poland,neutral
earnings per share eps amount eur0 03 loss eur0 08,positive
finnish scanfil systems supplier contract manufacturer communications sector electronics industry report net sales total eur 947 mn first half 2010 eur 995 mn first half 2009,negative
st petersburg oct 14 ( prime-tass ) -- finnish tire producer nokian tyres plan invest 50 million euros expansion tire plant city vsevolozhsk russia 's leningrad region 2011 company 's president kim gran tell reporters thursday,positive
generate operate loss eur 963 mn profit eur 439 mn,negative
( adp news ) - finnish handle systems provider cargotec oyj ( hel cgcbv ) announce friday order worth eur 10 million ( usd 132 ) deliver linkspans jordan morocco ireland,positive
appeal concern project lodge czech ministry environment,neutral
result tax decrease nearly eur 145 mn compare nearly eur 20mn previous account period,negative
fine print,neutral
pretax profit rise eur 178 mn eur 149 mn 2005,positive
finnish forest machinery manufacturer ponsse 's net sales grow eur 513 mn first quarter 2010 eur 375 mn correspond period 2009,positive
outotec 's delivery cover engineer supply construction circulate fluid bed calcination plant capacity 1600 tons alumina per day,neutral
sale result gain eur 60 million second quarter 2010 oriola-kd support finnish company 's strategy focus pharmaceutical wholesale retail operations,positive
pretax loss total eur 117mn compare loss eur 65mn correspond period,negative
total number share company 585236987 innofactor group innofactor offer customers comprehensive solutions microsoft environment,neutral
one headboxes equip modern consistency control system ensure cross machine profile plasterboard company say statement receive lesprom network,neutral
build home improvement trade sales decrease 63 % total eur 1541 mn,negative
rinkuskiai raise sales 181 percent 137 million liters sales kauno alus grow 143 percent 960000 liters,positive
hu offer discount 25 % 50 % select book,neutral
manavigator-september 7 2010-kemira unveil indian jv ivrcl finnish chemicals group kemira ( hel kra1v ) tuesday announce ink deal form joint venture india local construction firm ivrcl infrastructure project ltd ( bom 530773 ),positive
finnish technology group aspocomp group oyj ( omx helsinki acg1v ) issue third quarter report thursday ( 13 november ) post operate profit eur0 4 compare loss eur0 5 third quarter 2007,positive
company confirm estimate lower revenue whole 2009 year-ago eur 939 million usd 1373 give interim report august 5,negative
18 may 2010 - finnish electronics producer elcoteq se hel elqav say today sign extensive cooperation agreement industrialisation manufacture distribution after-market service mobile phone japan 's sharp tyo 6753,positive
finnish componenta publish new long-term strategy period 2011-2015 aim grow together customers,neutral
domestic business best-in already close finnish dog owners,positive
estonian electronic components factory elcoteq run material closure air traffic,negative
omx helsinki 25 end 047 pct lower 315055 omx helsinki 021 pct 1073642 1523 bln eur turnover,negative
capman 's first real estate fund total investment capacity ( euro ) 500 million close june 2005 invest commercial properties helsinki metropolitan area,neutral
department store division report increase sales 4 per cent,positive
finnish ship company finnlines ' pretax loss total eur 65 mn third quarter 2009 compare profit eur 03 mn third quarter 2008,negative
helsinki ( afx ) - share close higher lead nokia announce plan team sanyo manufacture 3g handsets nokian tyres fourth-quarter earnings report beat analysts ' expectations dealers say,positive
finnish suominen corporation make wipe nonwovens flexible package plant near warsaw poland make flexible package,neutral
capman make initial investment onemed june 2006,neutral
september alone market decline 102 percent year-on-year 1928 million liters,negative
( adpnews ) - feb 3 2010 - finland-based steel maker rautaruukki oyj ( hel rtrks ) ruukki say today slip larger-than-expected pretax loss eur 46 million ( usd 645 ) fourth quarter 2009,negative
3 february 2011 - finnish broadband data communication systems provider teleste oyj hel tlt1v say yesterday net profit rocket eur4 8 2010 eur416 000 2009 lift dividend proposal,positive
okmetic expect net sales first half 2009 less 2008,negative
acquisition + landsbanken sverige 2009 burden performance eur 30 mn,negative
close omx helsinki 25 001 pct lower 306764 point omx helsinki 005 pct 1032146 point 1343 bln eur turnover,negative
elcoteq se list nasdaq omx helsinki ltd,neutral
operate profit net sales 12-month period increase respectively eur4 7 eur26 7 compare 2004,positive
amanda capital investments 22 private equity fund 200 unquoted company mainly europe,neutral
q1 2009 company 's operate loss total eur 03 mn compare profit eur 36 mn q1 2008,negative
pretax profit decrease eur 338 mn eur 408 mn fourth quarter 2005,negative
133 pm omx helsinki 25 030 pct lower 246367 omx helsinki 037 pct 853742 volume 256 mln eur,negative
company say estimate make slight profit thank cost-cutting measure,positive
contract sign august papua new guinea-based lihir gold ltd asx lgl,positive
ssh establish new global sales market group lead george adams adams establish global sales market group drive worldwide program support ssh tectia enterprise security solutions,neutral
operate profit turnover nine-month period increase respectively eur2 4 eur43 8 compare correspond period year ago,positive
october upm report third-quarter net loss euro86 million $ 110 million compare net profit euro120 million 2007,negative
koduextra operate retail chain 11 store control finnish non-food center ky rukax oy scan-tukka oy,neutral
newly create position establish strengthen amer sport ' management strategic plan execution,positive
finnish geosentric 's net sales decrease eur 939000 january-march 2009,negative
extract filtrate high clarity dry filter cake meet require transport moisture limit ( tmls ) ore grade,neutral
lifetree found 2000 revenues rise average 40 % margins late 30s,positive
sales vat inclusive expand 19 percent 351 million euros,positive
self-service automation bigger role fujitsu 's global resources exploit effectively,positive
q1 2009 company 's result tax continue operations exclude non-recurring items total eur -04 mn compare eur -01 mn correspond period 2008,negative
` separate side businesses able faster expand develop tapro retail network,positive
sales improve sek 1553 mn compare sek 1408 mn,positive
new technology improve glass quality consistency increase throughput,positive
finnish group anticipate sales gain eur42m tax expense,positive
transaction expect finalize dec 2009,neutral
finnish plumb heat systems supplier uponor 's net sales continue business operations decrease eur 2491 mn july-september 2008 compare eur 2621 mn third quarter 2007,negative
company expect net sales significantly increase 2009,positive
technopolis st petersburg government sign cooperation memorandum october 2005 set techno-park neudorf production zone village strelny st petersburg suburbs,positive
profitability ( ebit % ) 136 % compare 143 % q2 2009,negative
finnish suominen corporation specialise wet wipe nonwovens flexible package report net sales eur 441 mn second quarter 2010 eur 433 mn second quarter 2009,positive
generate operate loss eur 963 mn profit eur 439 mn,negative
operate profit increase eur 140 mn eur 49 mn correspond period 2005,positive
neste oil say result biomass 3 liquids demonstration plant commission june 2009 promise decision commercial plant take,neutral
finnish ahlstrom corporation double investments new specialty glassfiber reinforcement plant south carolina us,positive
could us time `` say,neutral
cut bring outdoors birch-branch coasters,neutral
aim increase sales least one fifth 2006,positive
finnish retail software developer aldata solution oyj report net loss 117 mln euro $ 172 mln 2007 versus net profit 25 mln euro $ 37 mln 2006,negative
q1 2010 18 may 2010 - finnish electrical components maker salcomp oy ( hel sal1v ) say today turn net profit eur1 6 first quarter 2010 versus loss eur2m correspond period last year,positive
company expect net sales significantly increase 2009,positive
operate profit exclude non-recurring items total eur 10 mn eur 16 mn,negative
result negotiations employment 130 blue - white-collar employees oulu plant would terminate,negative
aspo plc stock exchange announcement may 4 2006 1000 increase share capital aspo plc total eur 112560 register today,positive
finland alma media focus quality develop chain operations,neutral
company also say poland profitability program launch oborniki steel frame sandwich panel plant,positive
swedish engineer consultant firm etteplan establish unit town borl+ nge turn month march-april 2008,neutral
thanksto improvements demand adjustments make theutilization rat cramo 's fleet substantiallyimproved ``,positive
austin texas sept 6 -- texas department transportation award contract teleste video compression distribution equipment,positive
manage director 's comment `` net sales first quarter notably lower year especially finland russia baltic countries,negative
financial detail acquisition disclose,neutral
status agree,neutral
cash flow operations recent quarter also reach eight year low,negative
production facilities 6 july 2010 - finnish investment group neomarkka oyj ( hel nembv ) say today buy former production facilities kuitu finland ltd part negotiations option invest specialty cellulose fiber business,neutral
new share entitle holders dividends fiscal 2006,neutral
pretax profit rise eur 06 mn eur 04 mn correspond period 2005,positive
court find telecominvest 's arguments convince,positive
finnish bank + land report operate profit rise eur 213 mn second quarter 2009 eur 61 mn correspond period 2008,positive
`` sell information systems development business finns,neutral
contract involve refurbish bathrooms 189 units well re-plumbing water sewer pip,neutral
remainder revenues come technology agreements firm interdigital say,neutral
adpnews - dec 23 2009 - norwegian financial service group sparebank 1 gruppen osl sbgrp say board directors appoint today jarle haug manage director claim collection subsidiary sparebank 1 gruppen finans,neutral
adanac molybdenum canada order grind technology molybdenum project british columbia canada shalkiya zinc kazakhstan award contract grind technology shalkiya zinc-lead project kazakhstan,positive
new activity incur investment 5 meur,neutral
czech republic profile unit ostrava close machinery relocate ruukki 's bigger plant hungary poland romania end first quarter 2009,neutral
company confirm estimate lower revenue whole 2009 year-ago eur 939 million usd 1373 give interim report august 5,negative
viking line cancel service,negative
however company saw net profit third quarter eur1 4 eur1 5 correspond period 2009,negative
announcement push freenet share 63 % eur0 71 frankfurt trade eur10 65 investors give hope unite internet ag drillisch would pursue takeover breakup freenet,negative
shareholder entitlements become effective today,neutral
sale result capital loss eur5m solidium obtain tikkurila share march 2010,negative
accord atria 's president ceo matti tikkakoski company 's swedish operations significantly improve first quarter,positive
aspo plc stock exchange release february 11 2011 at8 45 esl ship ltd part aspo group sign new long-term contract rautaruukki corporation marine transport raw materials baltic sea,positive
( adp news ) - nov 28 2008 - finnish power-supply solutions provider efore oyj ( omx efo1v ) announce today launch opus dc latest power system opus product line,positive
eps outlook increase 56 pct 2007 70 pct 2008,positive
salcomp oyj finnish maker mobile phone chargers monday post eur1 49 million loss second quarter compare 170 million profit period previous year,negative
turbines expect launch end 2012,neutral
profit period fell eur 16 mn eur 75 mn january-september 2008,negative
finnish developer manufacturer mobile phone chargers salcomp plc omx helsinki sal1v wednesday 19 november lower full-year net sales estimate,negative
expansion finalize autumn 2009,neutral
measure result weak demand shipbuilding industry,negative
turun kaupunkin finland base company award contract lemminkainen talotekniikka oy electrical installation work,positive
earnings per share eps rise eur 011 eur 003,positive
net sales grow period x20ac 402 million $ 585us million x20ac 401 million 2006,positive
abn amro capital agree sell helsinki-based designer homeware producer iittala oyj crosstown consumer products group fiskars corp eur230 million eur235 million ( $ 310 million $ 316 million ),neutral
change market situation tougher price competition substantially reduce demand bread package manufacture kauhava plant accord company,negative
value contract eur 27mn,neutral
stora chief executive jouko karvinen describe russian tariff hike threat future forest products industry finland,negative
estimate synergy benefit least eur7m annually,positive
operate loss increase eur 17mn loss eur 108 mn 2005,negative
six breweries record 52 percent growth domestic beer sales last year 27021 million liters 25688 million liters sell 2005,positive
cision say sale return uk operation profitability,positive
do domestically neighbor market organically acquisitions,neutral
rautaruukki corporation stock exchange release 3 december 2009 12 noon ruukki 's construction engineer divisions improve adjust operations finland,positive
sales mid-strength beer decrease 40 %,negative
contract include software licence application maintenance train,neutral
combine value order eur 45mn,neutral
operate profit eur -01 mn eur 13 mn,negative
ceo erkki j+ rvinen happy company 's performance 2010,positive
january-november 2009 group 's sales total eur 78017 mn drop 126 % period 2008,negative
metso estimate need personnel reductions amount 25 people,negative
repeat see 2008 operate profit y-y ( report helsinki newsroom ) keywords tecnomen-results,negative
agreement geosentric provide gypsii-powered hotel information reservation service visitors china include popular cities beijing shanghai,positive
fourth quarter 2008 net sales increase 2 % eur 10507 mn eur 10270 mn fourth quarter 2007,positive
nokia elisa work together bring superior mobile game experience elisa customers,positive
name buyer disclose,neutral
pretax profit jump eur 219 million eur 31 million,positive
earnings per share ( eps ) eur0 03 loss eur0 083,positive
finnish communication electronics components supplier scanfil oyj tuesday say sales first half 2006 15 % lower period year ago,negative
finnish textiles clothe group marimekko oyj post net profit 799 mln euro $ 104 mln 2006 compare 84 mln euro $ 109 mln 2005,negative
addition cramo peab sign exclusive five-year rental agreements finland extend exist rental agreements swedish market another five years,positive
also cut price projections paper package `` analyst goldman sachs say note monday,negative
border guard service ban moor company car-shipping ferry test travel railroad-car terminal russian port border checkpoint yet ready,negative
previously plant expect complete end 2008,neutral
succeed krister kylas decide leave teliasonera,neutral
lassila & tikanoja 's operate profit exclude non-recurring impute items second quarter eur11 3 eur13 8 year ago,negative
55 workers + m+ l affect close-down,negative
operate profit nine-month period decrease eur19 9 net sales increase eur155 7 compare correspond period 2007,negative
re-use back pet bottle also steadily increase rate use strap tape pick dip 2005 petcore say previously,positive
helsinki thomson financial - share close little change cargotec huhtamaki drop sharply disappoint second-quarter report,negative
accord ceo nordea bank estonia vahur kraft nordea finland stockmann cooperate ten years,positive
net sales total eur 936 mn eur 932 mn correspond period 2005,positive
one opportunities would bring baltic meat process rakvere like process concentrate vantaa meat-packing unit finland paper write,neutral
synergy benefit start materialise second quarter,positive
operate profit fell eur 2326 mn eur 3286 mn,negative
2010 sanoma magazines expect net sales 2009 level,neutral
belarus oao lidskoe pivo brewery base grodno region report 11 % decrease output 1045 million decaliters january-march 2010 representative administration company tell,negative
outotec oyj press release december 4 2009 1030 outotec establish new subsidiary kolkata outotec establish subsidiary india order better serve indian customers increase business grow indian market,positive
share carry right dividend shareholder right registration finnish trade register,neutral
deal include option cramo buy minority stake 2011,neutral
aldata share space optimization vision apollo user group 2009 category management association conferences company unveil new solution combine business intelligence space plan data conferences,neutral
has80 branch finland annual revenue finland,neutral
money spread mainly 2011 2012 company say,neutral
pretax profit rise eur 1019 mn eur 1007 correspond period 2005,positive
consolidate pretax profit decrease 692 % eur 410 mn eur 1331 mn 2007,negative
baltic countries sales fell 426 %,negative
fourth quarter 2009 atria 's net loss shrink eur 12 million eur 59 million net sales contract eur 3404 million eur 3611 million,positive
`` term profitability earnings 2007 best year history `` chief executive veli-matti mattila say,positive
company say sales three months end march slide eur86 4 us $ 1134 eur91 2 last year,negative
profit tax amount eur 565 mn eur 2329 mn year ago,negative
